sender_id,sender,total_messages,active_days,avg_message_length,link_ratio,anomaly_label
LebUpdate,LebUpdate,771,8,183.37,0.0259,unknown
1644078653,niii0420,769,12,13.5,0.0,unknown
1352076464,spamdefaciand0,768,12,474.08,1.0,unknown
8393634987,Curse_Devourer,759,4,29.95,0.0013,unknown
8270398203,Marlborrore,757,12,12.73,0.0,unknown
7951884442,,756,14,18.35,0.0026,unknown
imychiwtgb,imychiwtgb,755,6,13.77,0.0185,unknown
Compass_News33,Compass_News33,755,6,125.6,0.0172,unknown
8440114975,,747,2,870.64,0.0,unknown
8582876537,,747,6,17.54,0.0013,unknown
8148568907,,745,11,13.95,0.0,unknown
7967957061,ur_suss,743,16,13.42,0.0013,unknown
8321573765,Princek27,739,8,27.34,0.0,unknown
7376990180,ShopLOBO,738,13,2337.49,0.0447,unknown
BellumActaNews,BellumActaNews,735,7,173.04,0.0571,unknown
8118208772,IL0beU,732,10,21.32,0.0,unknown
7813664011,BeYt18,732,13,253.48,0.3566,unknown
8654865009,,730,2,1081.5,0.0,unknown
8462456835,elvronc,728,6,17.52,0.0027,unknown
691070694,ChatFightBot,722,13,113.94,0.0,unknown
8541124549,phumscha,720,2,21.4,0.0139,unknown
FotrosResistancee,FotrosResistancee,716,8,166.48,0.0028,unknown
Jeetstayaway,Jeetstayaway,716,5,16.81,0.0,unknown
Notsokidooooo,Notsokidooooo,710,10,36.16,0.0,unknown
7558753042,magdarecki,709,2,363.0,1.0,unknown
7646166392,kittyfairy222,703,19,11.14,0.0,unknown
5476906219,Tumazaah,701,19,970.0,1.0,unknown
8354562948,,700,1,46.73,0.0,unknown
8260147613,,699,16,28.76,0.0029,unknown
callmeurkitty,callmeurkitty,697,10,18.7,0.0029,unknown
cvbvcxvc,cvbvcxvc,694,4,24.95,0.0,unknown
8533475786,,691,9,17.82,0.0,unknown
8407608103,notsocurious,690,12,54.29,0.0029,unknown
1442789450,tulkarembaladna10,689,13,135.63,0.0015,unknown
CIG_telegram,CIG_telegram,688,8,293.82,0.0785,unknown
6097667986,mr55_313,674,17,142.72,0.0,unknown
6217727129,sp66o,671,8,29.02,0.076,unknown
8766777138,KhizirMohammadNajjar,670,3,17.6,0.0075,unknown
7764846739,,663,10,17.58,0.003,unknown
7709961351,,651,5,19.15,0.0,unknown
8753504913,,646,1,300.42,0.0,unknown
alexandrajoyce,alexandrajoyce,646,10,24.32,0.0,unknown
Syrian_Compass,Syrian_Compass,646,3,104.46,0.0062,unknown
5046624074,mjaUafAPELWS,644,12,7.48,0.0,unknown
tulkarembaladna10,tulkarembaladna10,643,8,114.98,0.0,unknown
6690708809,,638,12,11.09,0.0,unknown
8697797545,,638,2,17.45,0.0,unknown
8535958902,lowkidkmyself,637,12,17.1,0.0,unknown
8036547293,raghdah_s,636,18,40.71,0.0016,unknown
1458480018,CIG_telegram,635,13,583.47,0.1764,unknown
6625629432,,631,6,25.15,0.0,unknown
8494126675,,628,10,16.23,0.0016,unknown
8384854674,Themetaphysicalanticlimaticfeind,627,5,19.08,0.0064,unknown
8706229592,,625,6,12.77,0.0,unknown
1101049774,Eng_ahed,623,11,234.56,0.0016,unknown
BeYt18,BeYt18,622,8,245.59,0.4293,unknown
8755090760,TipsyPanda007,619,3,25.99,0.0,unknown
8798101420,Pipppoya,616,14,24.69,0.0,unknown
8297561764,dlobdaeh,613,16,28.79,0.0016,unknown
1161666782,BellumActaNews,612,13,265.15,0.0572,unknown
8411721485,Asmaaegypt,610,18,13.38,0.0,unknown
6066012587,Gladiator69_bot,608,13,108.86,0.0,unknown
8773025560,,607,14,14.92,0.0033,unknown
8059048037,,606,15,25.16,0.0083,unknown
8752814780,ccllccxxx,603,3,21.96,0.0033,unknown
8353015358,,602,9,26.1,0.0532,unknown
7053964889,,599,2,717.0,0.0,unknown
1971363005,FotrosResistancee,597,13,210.87,0.0034,unknown
6479788550,,597,16,23.54,0.0,unknown
N0T_HUM4N,N0T_HUM4N,594,10,15.98,0.0,unknown
8487346222,stackcanarie,593,5,28.24,0.0067,unknown
1437924452,,593,6,550.53,0.7538,unknown
1436098780,EmilyWilliam1997,590,12,18.19,0.0068,unknown
8603112726,dead_fr01,589,8,22.93,0.0,unknown
2083385892,hawkersprimeleakfree,588,13,50.35,0.3486,unknown
Kaiser_8887,Kaiser_8887,584,10,25.02,0.0017,unknown
tffZade,tffZade,584,7,37.28,0.0,unknown
1421321618,X_2auder_5,583,8,21.62,0.0,unknown
6851130776,,583,10,15.94,0.0,unknown
8114208402,datingAgiraffeee,581,3,16.83,0.0017,unknown
5419027094,N0T_HUM4N,581,13,19.86,0.0,unknown
8716491006,,579,10,11.43,0.0,unknown
5066230947,hustaler,578,7,17.26,0.0,unknown
casadacidadania,casadacidadania,577,6,314.01,0.409,unknown
ivxzis,ivxzis,576,7,19.0,0.0,unknown
5634167003,Miraishere123,574,12,7.16,0.0,unknown
6186288690,JURAGANDIMS,573,11,199.21,0.9215,unknown
8258231364,,571,14,22.5,0.0035,unknown
7876503189,Minted_clouds,569,15,16.98,0.0,unknown
8573127077,Udontownmenanana,568,5,19.58,0.0,unknown
8068198657,a_mir731,563,10,22.06,0.0,unknown
6786212447,Veedo17,560,18,35.82,0.0071,unknown
5864481291,ngwilimt,555,4,11.66,0.0252,unknown
730507113,QorovulBot,555,16,69.85,0.0,unknown
8561664889,,554,13,24.92,0.0,unknown
8517781695,Synceclus,553,4,29.72,0.0018,unknown
8648341793,kai_1249,551,11,28.42,0.0,unknown
1856968237,mmirleb,548,13,575.79,0.0,unknown
7035909959,,547,13,44.4,0.0,unknown
7617130869,BKRPLG,547,14,371.75,0.4991,unknown
OoOoOjgkj,OoOoOjgkj,546,10,19.92,0.0037,unknown
8186965949,DL1912O,545,7,24.9,0.0018,unknown
ShopLOBO,ShopLOBO,542,10,2612.05,0.0055,unknown
7152820302,,542,5,19.74,0.0,unknown
2117353956,GeoPWatch,541,13,186.07,0.0055,unknown
hezbulla,hezbulla,538,8,346.69,0.0,unknown
ayurelax,ayurelax,538,10,24.86,0.0539,unknown
8620635452,,537,9,19.7,0.0,unknown
7445949969,j8vvj,530,13,75.57,0.0,unknown
1287239096,criminal76435,527,1,4.0,0.0,unknown
8309004897,,526,15,14.9,0.0019,unknown
8384874383,VV8BB8,525,17,53.72,0.0,unknown
hyperdashflows,hyperdashflows,524,8,60.16,0.0115,unknown
8216051648,,523,18,27.25,0.0153,unknown
5905209394,,521,1,964.64,0.0,unknown
ChatFightBot,ChatFightBot,520,10,111.3,0.0,unknown
mushpach,mushpach,517,2,26.63,0.0097,unknown
8218923485,prathx,516,12,21.59,0.0,unknown
8133077997,m4ng0guy,514,7,28.95,0.0,unknown
8241618087,,512,15,31.63,0.0,unknown
2244712463,AMK_Mapping,512,13,138.21,0.0156,unknown
8010933239,Tsktsktsktss,511,5,21.87,0.0,unknown
8436983053,,510,18,12.36,0.0,unknown
8029421314,,508,3,7.32,0.0,unknown
audiminia,audiminia,508,8,26.24,0.0,unknown
Hope_565,Hope_565,506,6,15.93,0.004,unknown
7990402343,sorinaecmore,505,1,948.0,1.0,unknown
7717791141,Spidey1819,503,4,34.67,0.0,unknown
8427774812,,503,3,1642.0,0.0,unknown
8250628996,,503,14,99.77,0.0,unknown
8120149790,,503,6,24.98,0.0,unknown
8734436432,,502,13,18.45,0.0,unknown
7651202474,ThePresence0fDC,501,5,22.02,0.0,unknown
8140564555,Donttagmemff,497,5,19.37,0.0,unknown
iranscreenshot1,iranscreenshot1,496,10,175.46,0.002,unknown
silent_19007,silent_19007,494,5,20.24,0.0,unknown
Mrkr009,Mrkr009,493,6,18.15,0.0,unknown
1576114765,,493,11,8.17,0.0,unknown
8790635137,althoufeekn,491,5,32.68,0.0041,unknown
CallMeAzu,CallMeAzu,489,2,18.04,0.002,unknown
8540116472,festerr09,488,15,12.42,0.0,unknown
GHClone2Bot,GHClone2Bot,488,10,106.32,0.0,unknown
8650787591,zrrpvt,488,3,19.86,0.0,unknown
Balata12,Balata12,487,8,50.5,0.0,unknown
8575584841,spunkeyy,485,14,24.46,0.0041,unknown
1437583513,MarinKittygawa,485,10,14.43,0.0,unknown
5177079548,,485,17,64.35,0.0,unknown
2454187370,hablalasociedad2,485,19,358.04,0.734,unknown
a_mir731,a_mir731,484,9,19.76,0.0,unknown
7894214605,,484,5,192.62,0.0,unknown
8524246161,,484,16,23.16,0.0103,unknown
5263928122,dinaswhispers,483,2,14.3,0.0041,unknown
elvronc,elvronc,480,7,19.55,0.0021,unknown
5634167003,,480,9,6.41,0.0,unknown
8114208402,,474,3,20.78,0.0274,unknown
7365696428,STFU_PIECE_OF_CAKE,474,7,14.7,0.0,unknown
8298057422,,473,12,23.68,0.0127,unknown
7995782892,wearlangot,472,1,30.35,0.0508,unknown
6790490529,Flashtvs,470,19,805.06,0.0,unknown
8578663563,SpriteCnKeta,469,8,340.61,0.0,unknown
8204124981,,466,4,229.0,0.0,unknown
8485950060,,464,4,20.4,0.0,unknown
6277635410,Enchanted_lass,463,11,36.46,0.0022,unknown
7248028857,baksokejumoza,462,12,15.05,0.0,unknown
7720148863,,461,7,9.49,0.0,unknown
8755280046,Trexoli,460,6,29.57,0.0,unknown
almoujaz,almoujaz,459,7,119.46,0.0,unknown
8224508602,FaseandoTMsec,454,13,43.79,0.1894,unknown
jenin_today5,jenin_today5,452,8,81.33,0.0199,unknown
8720329315,,452,3,10.61,0.0,unknown
Baymax_free_bot,Baymax_free_bot,452,10,293.59,0.9712,unknown
7269780059,suoimiu,452,11,26.43,0.0022,unknown
7750050236,,449,6,19.74,0.0,unknown
8292171712,farangiznm,449,3,15.86,0.0178,unknown
1428039461,alichoeib1970,448,13,110.4,0.1183,unknown
8699665188,littlemimic,447,7,40.3,0.0246,unknown
886001301,,445,14,14.47,0.0,unknown
7669024443,,444,3,16.7,0.0,unknown
man_is_dead,man_is_dead,443,2,25.97,0.0248,unknown
muchhaps,muchhaps,443,2,24.49,0.009,unknown
1322613307,,442,16,16.61,0.0,unknown
8521491186,Kabhikabhiaditi_26,442,13,13.06,0.0,unknown
8614531690,,440,6,11.85,0.0,unknown
7428607305,canitahc,440,19,1087.06,0.0,unknown
foxyboi,foxyboi,437,8,35.48,0.0092,unknown
1153203443,PandemiaYVacunas,437,13,208.39,0.9748,unknown
7225694896,,437,16,128.93,0.0,unknown
8766777138,wearpheran,437,1,19.14,0.0183,unknown
The_blessd_one,The_blessd_one,437,4,27.11,0.0046,unknown
8305206229,,435,3,20.41,0.0,unknown
7653937081,,434,9,15.01,0.0,unknown
8585509457,,433,7,149.28,0.0,unknown
8089912140,THE_01_GOD_ITACHI_UCHIHA,433,3,14.58,0.0,unknown
8527685754,racistnot,432,5,15.44,0.0,unknown
8193911321,,432,8,19.22,0.0,unknown
6200436058,,430,5,24.55,0.0,unknown
6730822500,Mariam_Shhab,429,14,50.09,0.0,unknown
6538457605,Dodmut,427,11,25.61,0.0,unknown
7814589776,,427,5,16.55,0.0258,unknown
7555821808,Mitochonndriaaaa,424,2,19.34,0.0,unknown
8765330007,R3M9trece,424,7,1087.36,0.8632,unknown
8779999557,Mohady777,424,13,22.66,0.0,unknown
8462140033,Dott01,424,9,11.97,0.0024,unknown
1218683590,,423,5,478.0,0.0,unknown
Shammu0101,Shammu0101,422,6,29.4,0.0,unknown
8661059038,,422,10,10.12,0.0095,unknown
751620737,,422,9,17.01,0.0,unknown
GazaDailyInsights,GazaDailyInsights,422,8,185.19,0.0095,unknown
1264027036,alghalbun,421,13,278.47,0.0048,unknown
8572438903,,421,15,11.72,0.0,unknown
Mur33d,Mur33d,420,8,22.41,0.0071,unknown
1177932374,blueteamalerts,419,19,323.46,0.9952,unknown
8379429851,icarentboutyou,418,3,16.81,0.0072,unknown
JURAGANDIMS,JURAGANDIMS,418,9,171.94,0.9019,unknown
1620376520,RSTReportHub,417,12,1309.81,0.3165,unknown
itzznone_ofyourbusiness,itzznone_ofyourbusiness,417,7,16.12,0.0,unknown
8679311510,kanshania,413,6,17.25,0.0048,unknown
7767226377,rno113322,413,15,17.77,0.0,unknown
6236541910,,413,18,824.78,0.0,unknown
alghalbun,alghalbun,413,8,242.99,0.0024,unknown
7759709756,,411,15,35.9,0.0049,unknown
angrysaffron,angrysaffron,409,7,228.22,0.6284,unknown
7608957987,dumdum_x,409,2,18.03,0.0,unknown
8128440246,ZRAR_130,409,5,45.4,0.0024,unknown
8273510857,Asmadiva,407,5,21.14,0.0,unknown
8109082638,,405,1,964.67,0.0,unknown
